CERTIFIED	85.83175152675692	2011
DENIED	8.119475871526644	2011
CERTIFIED-WITHDRAWN	3.2321813321738064	2011
WITHDRAWN	2.816591269542628	2011
CERTIFIED-WITHDRAWN	7.4871572767411365	2012
WITHDRAWN	2.5805753058793806	2012
CERTIFIED	84.85629383669591	2012
DENIED	5.075973580683582	2012
CERTIFIED-WITHDRAWN	8.014295084933613	2013
PENDING QUALITY AND COMPLIANCE REVIEW - UNASSIGNED	0.0033928207912058087	2013
WITHDRAWN	2.6212933432856076	2013
CERTIFIED	86.6182624233788	2013
DENIED	2.742756327610776	2013
CERTIFIED	87.62441618247834	2014
DENIED	2.290220358626638	2014
INVALIDATED	1.9252020499551428E-4	2014
CERTIFIED-WITHDRAWN	6.997916931381949	2014
REJECTED	3.8504040999102855E-4	2014
WITHDRAWN	3.086868966898076	2014
CERTIFIED	88.45225761927313	2015
DENIED	1.7653989562440302	2015
CERTIFIED-WITHDRAWN	6.637984119005635	2015
WITHDRAWN	3.144359305477214	2015
CERTIFIED-WITHDRAWN	7.269493966529948	2016
WITHDRAWN	3.3791137120389996	2016
CERTIFIED	87.93506667922193	2016
DENIED	1.4163256422091284	2016
