(SENIOR SYSTEMS ANALYST JC60,4229.8)
(SOFTWARE DEVELOPER 2,3382.8)
(MODULE LEAD,3195.2)
(SYSTEMS ANALYST JC65,2969.8)
(LEAD,2507.0)
